# X Y Z
16	1000	367
16	2000	669
16	3000	1004
16	4000	1339
16	5000	1624
16	6000	1910

24	1000	367
24	2000	669
24	3000	1004
24	4000	1339
24	5000	1624
24	6000	1910

32	1000	331
32	2000	603
32	3000	962
32	4000    1321
32	5000    1580
32	6000	1840

40	1000	331
40	2000	603
40	3000	962
40	4000    1321
40	5000    1580
40	6000	1840

48	1000	331
48	2000    603
48	3000	962
48	4000    1321
48	5000    1580
48	6000	1840

54	1000	298
54	2000	530
54	3000	868
54	4000	1206
54	5000	1457
54	6000	1709

64	1000	298
64	2000	530
64	3000	868
64	4000	1206
64	5000	1457
64	6000	1709
